Year,ApplicationId,Title,Name,Gender,CareerStage,GrantType,isSalaryGrant,GrantSubType,Institution,State,BroadArea,Category,FoR,TotalAmount,GrantLength
2014,585458,Prof,Shin-Ho Chung,NA,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-Retiring Fellow,Australian National University,ACT,Basic Science,OTHER PHYSICAL SCIENCES,Biotechnology,147996,1
2014,586607,Prof,Dmitri Sviridov,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,Baker IDI Heart and Diabetes Institute,VIC,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),135162,1
2014,586651,Prof,Greg Rice,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,University of Queensland,QLD,Basic Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Reproduction,147996,1
2014,586656,Prof,Tony M Dart,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-Retiring Fellow,Baker IDI Heart and Diabetes Institut,VIC,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMOTOLOGY,Arterial Function,167383,1
2014,586675,Prof,Merlin Thomas,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,Baker IDI Heart and Diabetes Institute,VIC,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),122329,1
2014,595913,Prof,Peter I Mackenzie,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-Retiring Fellow,Flinders University,SA,Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Drug metabolism,167383,1
2014,596825,A/Pr,Shane Grey,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,Garvan Institute of Medical Research,NSW,Clinical Medicine and Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,122329,1
2014,603104,Prof,Weisan Chen,NA,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,La Trobe University,VIC,Basic Science,IMMUNOLOGY,Cellular Immunology,122329,1
2014,603124,A/Pr,Margaret Hibbs,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,Monash University,VIC,Basic Science,IMMUNOLOGY,Immunology not elsewhere classified,122329,1
2014,606411,Prof,Rosemary Horne,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,Monash University,VIC,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,122329,1
