,APP.ID,Date.M2M.Approved,Date.Announced,CIA_NAME,GRANT_TYPE,SUB_TYPE,SIMPLIFIED.TITLE,ADMIN_.INSTITUTION,STATE,X2015,X2016,X2017,X2018,X2019,TOTAL,BROAD_RESEARCH_AREA,FOR_.CATEGORY,FIELD_OF_..RESEARCH,RESEARCH_KW_1,RESEARCH_KW_2,RESEARCH_KW_3,RESEARCH_KW_4,RESEARCH_KW_5
1,1078477,2014-08-18,2014-08-29,A/Pr Louise Maple-Brown,NHMRC Research Fellowships,Practitioner Fellowship,Improving outcomes of diabetes and related conditions for Indigenous Australians: causes, intervention, system change,Menzies School of Health Research,NT,52536,52536,52536,52536,52536,262678,Clinical Medicine and Science,CLINICAL SCIENCES,Endocrinology,diabetes mellitus,diabetic complications,clinical research,indigenous Australians,pregnancy
2,1078483,2014-08-18,2014-08-29,A/Pr Jane Pillow,NHMRC Research Fellowships,Practitioner Fellowship,Improving respiratory outcomes and associated long term morbidities in preterm infants,University of Western Australia,WA,91937,91937,91937,91937,91937,459687,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,mechanical ventilation,bronchopulmonary dysplasia,steroids,neurodevelopmental disorders,prematurity
3,1078567,2014-08-18,2014-08-29,Prof Paul Fitzgerald,NHMRC Research Fellowships,Practitioner Fellowship,Advancing novel brain stimulation treatment for severe depression,Monash University,VIC,110287,110287,110287,110287,110287,551436,Clinical Medicine and Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),transcranial magnetic stimulation (TMS),depression,major depressive disorder,treatment-resistant,clinical trial
4,1078980,2014-08-18,2014-08-29,Prof Jodie Dodd,NHMRC Research Fellowships,Practitioner Fellowship,Early life approaches to obesity prevention – the role of the in-utero environment,University of Adelaide,SA,110287,110287,110287,110287,110287,551436,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Obstetrics and Gynaecology,obesity,nutrition,maternal health,infant health,clinical trial
5,1079329,2014-08-18,2014-08-29,Prof Stephen Fox,NHMRC Research Fellowships,Practitioner Fellowship,Translating molecular pathology into cancer diagnostics,University of Melbourne,VIC,91937,91937,91937,91937,91937,459687,Clinical Medicine and Science,CLINICAL SCIENCES,Pathology,breast cancer,biomarkers,angiogenesis,targeted therapy,molecular pathology
6,1079388,2014-08-18,2014-08-29,Prof Rachelle Buchbinder,NHMRC Research Fellowships,Practitioner Fellowship,Improving translation of evidence into practice for musculoskeletal conditions,Monash University,VIC,110287,110287,110287,110287,110287,551436,Clinical Medicine and Science,CLINICAL SCIENCES,Rheumatology and Arthritis,musculoskeletal disorders,translational research,clinical trial,priority setting,evidence-based clinical practice
7,1079478,2014-08-18,2014-08-29,Prof Vicki Anderson,NHMRC Research Fellowships,Practitioner Fellowship,Advancing the evidence-base for childhood brain insult: diagnosis, assessment and intervention,Murdoch Childrens Research Institute,VIC,110287,110287,110287,110287,110287,551436,Clinical Medicine and Science,NEUROSCIENCES,Central Nervous System,child behaviour,developmental outcomes,brain function,outcomes research,psychosocial
8,1079777,2014-08-18,2014-08-29,Prof David Hunter,NHMRC Research Fellowships,Practitioner Fellowship,Improving Awareness and Treatment of Osteoarthritis,University of Sydney,NSW,78803,78803,78803,78803,78803,394017,Clinical Medicine and Science,CLINICAL SCIENCES,Rheumatology and Arthritis,osteoarthritis,decision support,clinical trial,pain management,magnetic resonance imaging (MRI)
9,1079785,2014-08-18,2014-08-29,Prof R. Douglas McEvoy,NHMRC Research Fellowships,Practitioner Fellowship,Translational Research in Obstructive Sleep Apnea,Flinders University,SA,110287,110287,110287,110287,110287,551436,Clinical Medicine and Science,CLINICAL SCIENCES,Clinical Sciences not elsewhere classified,sleep apnoea,randomised controlled trial (RCT),cardiovascular disease,neuropsychological impairments,health care delivery
10,1079842,2014-08-18,2014-08-29,Prof Jon Emery,NHMRC Research Fellowships,Practitioner Fellowship,Translating risk models to improve prevention and early diagnosis of cancer in primary care,University of Melbourne,VIC,91937,91937,91937,91937,91937,459687,Health Services,PUBLIC HEALTH AND HEALTH SERVICES,Primary Health Care,primary care,cancer detection,cancer prevention,risk assessment,clinical trial
