ApplicationId,Year,Amount
9000246,2014,816374
9000247,2014,737972
9000248,2014,699792
9000249,2014,528330
9000250,2014,524104
9000251,2014,298514
9000252,2014,279357
9000253,2014,234136
9000254,2014,217377
9000255,2014,182638
9000256,2014,159666
9000257,2014,118445
9000258,2014,109500
9000259,2014,103846
9000260,2014,96737
9000261,2014,95240
9000262,2014,73686
9000263,2014,71991
9000264,2014,59437
9000265,2014,59072
9000266,2014,57281
9000267,2014,48813
9000268,2014,44839
9000269,2014,42881
9000270,2014,29198
9000271,2014,27374
9000272,2014,27143
9000273,2014,26094
9000274,2014,23566
9000275,2014,23014
9000276,2014,19402
9000277,2014,18498
9000278,2014,16452
9000280,2014,16284
9000279,2014,15586
9000281,2014,11218
9000282,2014,10985
9000283,2014,9602
9000284,2014,9530
9000285,2014,9336
9000286,2014,7941
9000287,2014,7171
9000288,2014,6992
9000289,2014,6842
9000290,2014,6239
9000291,2014,6078
9000292,2014,5425
9000220,2014,7960829
9000221,2014,5600003
9000222,2014,4875025
9000223,2014,4211083
9000224,2014,2768147
9000225,2014,1528971
9000226,2014,1144591
9000227,2014,1121941
9000228,2014,719020
9000229,2014,614305
9000230,2014,493754
9000231,2014,434656
9000232,2014,299431
9000233,2014,256307
9000234,2014,162226
9000235,2014,158763
9000236,2014,124099
9000237,2014,60051
9000238,2014,47370
9000239,2014,38245
9000240,2014,33010
9000241,2014,32151
9000242,2014,15472
9000243,2014,8011
9000244,2014,5553
9000245,2014,2764
1091491,2014,29993.3666666667
1092092,2014,36726.425
1092499,2014,7743.91666666667
1092503,2014,27555.5833333333
1092547,2014,17968.0666666667
1092674,2014,11041
1092852,2014,21507.5241666667
1092933,2014,7475.65833333333
1082894,2015,102942
1082910,2015,102942
1082922,2015,56932
1082924,2015,102942
1082934,2015,102942
1082989,2015,113863
1083009,2015,113863
1083057,2015,102942
1083090,2015,113863
1083101,2015,45545
1083105,2015,61765
1083136,2015,113863
1083298,2015,113863
1083309,2015,102942
1083311,2015,102942
1083394,2015,102942
1083572,2015,102942
1083656,2015,102942
1083811,2015,113863
1084163,2015,113863
1084254,2015,51471
1084344,2015,113863
1084351,2015,113863
1084417,2015,102942
1084706,2015,102942
1084816,2015,102942
1084927,2015,113863
1085203,2015,113863
1085509,2015,113863
1085662,2015,102942
1085752,2015,102942
1085754,2015,102942
1085842,2015,113863
1085984,2015,102942
1086029,2015,102942
1086825,2015,113863
1086977,2015,102942
1086993,2015,102942
1087062,2015,102942
1087114,2015,113863
1087172,2015,102942
1087836,2015,113863
1087957,2015,102942
1087975,2015,113863
1088737,2015,113863
1088855,2015,102942
1088966,2015,102942
1089039,2015,102942
1089966,2015,102942
1090148,2015,102942
1090221,2015,102942
1090236,2015,113863
1090415,2015,102942
1090440,2015,102942
1090445,2015,113863
1090456,2015,113863
1090505,2015,102942
1090507,2015,102942
1077898,2015,630543
1078046,2015,423124
1078068,2015,423267
1078106,2015,397125
1078190,2015,518158
1078444,2015,506113
1078557,2015,177708
1078579,2015,551896
1078609,2015,499626
1078927,2015,631183
1079022,2015,473350
1079078,2015,462155
1079102,2015,495072
1079421,2015,443489
1079502,2015,309561
1079625,2015,515289
1079648,2015,443703
1079864,2015,506361
1080401,2015,589386
1088279,2015,64651.3
1088295,2015,77359
1088313,2015,77359
1088318,2015,119279
1088334,2015,91211
1088366,2015,77359
1088389,2015,87779
1088426,2015,77359
1088436,2015,77359
1088448,2015,96767
1088449,2015,91751
1088535,2015,91211
1088634,2015,77359
1088673,2015,85091
1088703,2015,77359
1088733,2015,77359
1088735,2015,64651.3
1088738,2015,64651.3
1088785,2015,77359
1088813,2015,77359
1088930,2015,77359
1088964,2015,77359
1089072,2015,77359
1089250,2015,77359
1089395,2015,77359
1089398,2015,46179.5
1089403,2015,77359
1089415,2015,38679.5
1089698,2015,108563
1089718,2015,77359
1089763,2015,77359
1089853,2015,92359
1089898,2015,46179.5
1090035,2015,77359
1090108,2015,77359
1090129,2015,77359
1090146,2015,77359
1090184,2015,77359
1090204,2015,125987
1090229,2015,135514
1090302,2015,64651.3
1090351,2015,77359
1090403,2015,77359
1090408,2015,77359
1090428,2015,135357
1090444,2015,99179
1090462,2015,77359
1090500,2015,46179.5
1090510,2015,92359
1090517,2015,77359
1090521,2015,77359
1090612,2015,100511
1090644,2015,77359
1090648,2015,77359
1090678,2015,64651.3
1090694,2015,125935
1090716,2015,109895
1090759,2015,77359
1090778,2015,84859
1090828,2015,54151.3
1090875,2015,100511
1090888,2015,77359
1090890,2015,87359
1090898,2015,77359
1090904,2015,81109
1090906,2015,46179.5
1090952,2015,110134
1090992,2015,77359
1090993,2015,100511
1090997,2015,92359
1091003,2015,77359
1091006,2015,77359
1091011,2015,77359
1091097,2015,95651
1091158,2015,38679.5
1091211,2015,90455
1091221,2015,77359
1091226,2015,77359
1091257,2015,108563
1091310,2015,91211
1091387,2015,46179.5
1091415,2015,139234
1091418,2015,92359
1091516,2015,77359
1091520,2015,77359
1091536,2015,92359
1091544,2015,89783
1091551,2015,64651.3
1091571,2015,143411
1091586,2015,77359
1091589,2015,77359
1091628,2015,46415.4
1091636,2015,77359
1091657,2015,77359
1091688,2015,77359
1091733,2015,38679.5
1091734,2015,77359
1091751,2015,92359
1091816,2015,77359
1091843,2015,125987
1091855,2015,84859
1091878,2015,77359
1091911,2015,108563
1091948,2015,110651
1091976,2015,77359
1092005,2015,77359
1092023,2015,77359
1092028,2015,92359
1092046,2015,77359
1092066,2015,77359
1092077,2015,97835
1092089,2015,77359
1092136,2015,77359
1092153,2015,46179.5
1092158,2015,95651
1092160,2015,92359
1092170,2015,77359
1092183,2015,77359
1092191,2015,88115
1092264,2015,77359
1092280,2015,77359
1092440,2015,77359
1092451,2015,110134
1092576,2015,92359
