,APP.ID,Date.M2M.Approved,Date.Announced,CIA,Grant.Type,Sub.Type,Simplified.Title,Admin.Institution,State,X2014,X2015,X2016,X2017,X2018,X2019,TOTAL,Broad.Research.Area,FOR.Category,Field.of.Research,Research.KW.1,Research.KW.1.1,Research.KW.1.2,Research.KW.1.3,Research.KW.1.4,RESEARCH_KW_4,RESEARCH_KW_5,NA.,NA..1,NA..2,NA..3,NA..4,NA..5,NA..6,NA..7,NA..8,NA..9,NA..10,NA..11,NA..12,NA..13,NA..14,NA..15,NA..16,NA..17,NA..18,NA..19,NA..20,NA..21,NA..22,NA..23,NA..24,NA..25,NA..26,NA..27,NA..28,NA..29,NA..30,NA..31,NA..32,NA..33,NA..34,NA..35,NA..36,NA..37,NA..38,NA..39,NA..40,NA..41,NA..42,NA..43,NA..44,NA..45,NA..46,NA..47,NA..48,NA..49,NA..50,NA..51,NA..52,NA..53,NA..54,NA..55,NA..56,NA..57,NA..58,NA..59,NA..60,NA..61,NA..62,NA..63,NA..64,NA..65,NA..66,NA..67,NA..68,NA..69,NA..70,NA..71,NA..72,NA..73,NA..74,NA..75,NA..76,NA..77,NA..78,NA..79,NA..80,NA..81,NA..82,NA..83,NA..84,NA..85,NA..86,NA..87,NA..88,NA..89,NA..90,NA..91,NA..92,NA..93,NA..94,NA..95,NA..96,NA..97,NA..98,NA..99,NA..100,NA..101,NA..102,NA..103,NA..104,NA..105,NA..106,NA..107,NA..108,NA..109,NA..110,NA..111,NA..112,NA..113,NA..114,NA..115,NA..116,NA..117,NA..118,NA..119,NA..120,NA..121,NA..122,NA..123,NA..124,NA..125,NA..126,NA..127
1,9000246,2014-10-09,2014-10-17,Research Admin Officer,NHMRC Infrastructure Grants,Equipment Grant,2014 Equipment Grant,University of Melbourne,VIC,816374,NA,NA,NA,NA,NA,816374,Not Applicable,Not Applicable,Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,9000247,2014-10-09,2014-10-17,Research Admin Officer,NHMRC Infrastructure Grants,Equipment Grant,2014 Equipment Grant,University of Sydney,NSW,737972,NA,NA,NA,NA,NA,737972,Not Applicable,Not Applicable,Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9000248,2014-10-09,2014-10-17,Research Admin Officer,NHMRC Infrastructure Grants,Equipment Grant,2014 Equipment Grant,Monash University,VIC,699792,NA,NA,NA,NA,NA,699792,Not Applicable,Not Applicable,Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,9000249,2014-10-09,2014-10-17,Research Admin Officer,NHMRC Infrastructure Grants,Equipment Grant,2014 Equipment Grant,University of New South Wales,NSW,528330,NA,NA,NA,NA,NA,528330,Not Applicable,Not Applicable,Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,9000250,2014-10-09,2014-10-17,Research Admin Officer,NHMRC Infrastructure Grants,Equipment Grant,2014 Equipment Grant,University of Queensland,QLD,524104,NA,NA,NA,NA,NA,524104,Not Applicable,Not Applicable,Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,9000251,2014-10-09,2014-10-17,Research Admin Officer,NHMRC Infrastructure Grants,Equipment Grant,2014 Equipment Grant,Walter and Eliza Hall Institute,VIC,298514,NA,NA,NA,NA,NA,298514,Not Applicable,Not Applicable,Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,9000252,2014-10-09,2014-10-17,Research Admin Officer,NHMRC Infrastructure Grants,Equipment Grant,2014 Equipment Grant,University of Western Australia,WA,279357,NA,NA,NA,NA,NA,279357,Not Applicable,Not Applicable,Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,9000253,2014-10-09,2014-10-17,Research Admin Officer,NHMRC Infrastructure Grants,Equipment Grant,2014 Equipment Grant,University of Adelaide,SA,234136,NA,NA,NA,NA,NA,234136,Not Applicable,Not Applicable,Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,9000254,2014-10-09,2014-10-17,Research Admin Officer,NHMRC Infrastructure Grants,Equipment Grant,2014 Equipment Grant,Murdoch Childrens Research Institute,VIC,217377,NA,NA,NA,NA,NA,217377,Not Applicable,Not Applicable,Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,9000255,2014-10-09,2014-10-17,Research Admin Officer,NHMRC Infrastructure Grants,Equipment Grant,2014 Equipment Grant,Baker IDI Heart and Diabetes Institute ,VIC,182638,NA,NA,NA,NA,NA,182638,Not Applicable,Not Applicable,Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
