ApplicationId,Title,Name,Gender,CareerStage,GrantType,isSalaryGrant,GrantSubType,Institution,State,BroadArea,Category,FoR,TotalAmount,GrantLength
585458,Prof,Shin-Ho Chung,NA,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-Retiring Fellow,Australian National University,ACT,Basic Science,OTHER PHYSICAL SCIENCES,Biotechnology,147996,1
586607,Prof,Dmitri Sviridov,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,Baker IDI Heart and Diabetes Institute,VIC,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),135162,1
586651,Prof,Greg Rice,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,University of Queensland,QLD,Basic Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Reproduction,147996,1
586656,Prof,Tony M Dart,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-Retiring Fellow,Baker IDI Heart and Diabetes Institut,VIC,Clinical Medicine and Science,CARDIOVASCULAR MEDICINE AND HAEMOTOLOGY,Arterial Function,167383,1
586675,Prof,Merlin Thomas,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,Baker IDI Heart and Diabetes Institute,VIC,Basic Science,CARDIOVASCULAR MEDICINE AND HAEMATOLOGY,Cardiology (incl. Cardiovascular Diseases),122329,1
595913,Prof,Peter I Mackenzie,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-Retiring Fellow,Flinders University,SA,Basic Science,PHARMACOLOGY AND PHARMACEUTICAL SCIENCES,Drug metabolism,167383,1
596825,A/Pr,Shane Grey,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,Garvan Institute of Medical Research,NSW,Clinical Medicine and Science,OTHER MEDICAL AND HEALTH SCIENCES,Medical and Health Sciences not elsewhere classified,122329,1
603104,Prof,Weisan Chen,NA,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,La Trobe University,VIC,Basic Science,IMMUNOLOGY,Cellular Immunology,122329,1
603124,A/Pr,Margaret Hibbs,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,Monash University,VIC,Basic Science,IMMUNOLOGY,Immunology not elsewhere classified,122329,1
606411,Prof,Rosemary Horne,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,Monash University,VIC,Clinical Medicine and Science,PAEDIATRICS AND REPRODUCTIVE MEDICINE,Paediatrics,122329,1
613638,Prof,Kum Kum Khanna,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,Queensland Institute of Medical Research,QLD,Basic Science,ONCOLOGY AND CARCINOGENESIS,Cancer Cell Biology,167383,1
613674,A/Pr,Dale Nyholt,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,Queensland Institute of Medical Research,QLD,Basic Science,GENETICS,Quantitative Genetics (incl. Disease and Trait Mapping Genetics),135162,1
620500,Prof,Sarah Russell,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,Swinburne University of Technology,VIC,Basic Science,BIOCHEMISTRY AND CELL BIOLOGY,Cell Development Proliferation and Death,137329,1
626906,A/Pr,Michael Beard,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,University of Adelaide,SA,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,122329,1
627002,Prof,Christine Feinle-Bisset,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,University of Adelaide,SA,Clinical Medicine and Science,NUTRITION AND DIETICS,Nutritional Physiology,135162,1
628319,A/Pr,Barbara Coulson,female,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,University of Melbourne,VIC,Basic Science,MEDICAL MICROBIOLOGY,Medical Virology,122329,1
628344,A/Pr,Ann M Turnley,female,Senior,Grant Extension,TRUE,Research Fellowship,University of Melbourne,VIC,Basic Science,NEUROSCIENCES,Central Nervous System,122329,1
628386,Prof,Christos Pantelis,male,Senior,NHMRC Research Fellowships,TRUE,Research Fellowship-6th year,University of Melbourne,VIC,Clinical Medicine and Science,CLINICAL SCIENCES,Psychiatry (incl. Psychotherapy),182383,1
